idna_subject,checker_type,destination,tested_at
v5.actionteaser.ru,AVAILABILITY,domains.list,2024-10-20 04:07:32.018147+00:00
np-adkpf.newscloud.or.kr,AVAILABILITY,domains.list,2024-10-20 04:07:33.846668+00:00
api.adns.contentlink.co.kr,AVAILABILITY,domains.list,2024-10-20 04:07:35.240330+00:00
api.ficm.contentlink.co.kr,AVAILABILITY,domains.list,2024-10-20 04:07:36.148369+00:00
adsrv.kstarplay.tv,AVAILABILITY,domains.list,2024-10-20 04:07:36.407526+00:00
adtag.asiaone.com,AVAILABILITY,domains.list,2024-10-20 04:07:36.744984+00:00
sosa.semanticrep.com,AVAILABILITY,domains.list,2024-10-20 04:07:37.007917+00:00
adv.mediakeep.co.kr,AVAILABILITY,domains.list,2024-10-20 04:07:38.748168+00:00
adv.segye.com,AVAILABILITY,domains.list,2024-10-20 04:07:40.797974+00:00
adv.realclick.co.kr,AVAILABILITY,domains.list,2024-10-20 04:07:48.454306+00:00
agate.opap.co.kr,AVAILABILITY,domains.list,2024-10-20 04:07:50.050171+00:00
amsv2.daum.net,AVAILABILITY,domains.list,2024-10-20 04:07:52.024597+00:00
ak-gb.marketgid.com,AVAILABILITY,domains.list,2024-10-20 04:07:52.220234+00:00
api.wiseclick.co.kr,AVAILABILITY,domains.list,2024-10-20 04:07:53.247798+00:00
ax-d.pixfuture.net,AVAILABILITY,domains.list,2024-10-20 04:07:53.493371+00:00
cdn03.sndkorea.co.kr,AVAILABILITY,domains.list,2024-10-20 04:07:57.122613+00:00
a2.acrosspf.com,AVAILABILITY,domains.list,2024-10-20 04:07:57.422239+00:00
care-health.co.kr,AVAILABILITY,domains.list,2024-10-20 04:07:59.511911+00:00
candy.ad9.kr,AVAILABILITY,domains.list,2024-10-20 04:08:01.376996+00:00
cdn.c-team.jp,AVAILABILITY,domains.list,2024-10-20 04:08:15.233614+00:00
cdn.kixer.com,AVAILABILITY,domains.list,2024-10-20 04:08:15.506154+00:00
cdn04.sndkorea.co.kr,AVAILABILITY,domains.list,2024-10-20 04:08:17.937954+00:00
cjmooter.xcache.kinxcdn.com,AVAILABILITY,domains.list,2024-10-20 04:08:23.475908+00:00
celeb.nann.co.kr,AVAILABILITY,domains.list,2024-10-20 04:08:24.923829+00:00
click.realclick.co.kr,AVAILABILITY,domains.list,2024-10-20 04:08:27.306499+00:00
cm1.icontact.kr,AVAILABILITY,domains.list,2024-10-20 04:08:30.075434+00:00
d1swklt9res5jr.cloudfront.net,AVAILABILITY,domains.list,2024-10-20 04:08:30.358854+00:00
adserver.genesismediaus.com,AVAILABILITY,domains.list,2024-10-20 04:08:30.617528+00:00
ex.mdtoday.co.kr,AVAILABILITY,domains.list,2024-10-20 04:08:34.232006+00:00
jsn.dt00.net,AVAILABILITY,domains.list,2024-10-20 04:08:34.540496+00:00
static.chameleon.ad,AVAILABILITY,domains.list,2024-10-20 04:08:35.207913+00:00
cwdata.itplay.co.kr,AVAILABILITY,domains.list,2024-10-20 04:08:36.792258+00:00
d.a1comm.co.kr,AVAILABILITY,domains.list,2024-10-20 04:08:38.166192+00:00
d269y12mnftu9c.cloudfront.net,AVAILABILITY,domains.list,2024-10-20 04:08:38.530010+00:00
dev.ezadsystem.com,AVAILABILITY,domains.list,2024-10-20 04:08:41.971475+00:00
get.keywordsconnect.com,AVAILABILITY,domains.list,2024-10-20 04:08:44.151982+00:00
servicer.marketgid.com,AVAILABILITY,domains.list,2024-10-20 04:08:44.393516+00:00
ad.adenc.co.kr,AVAILABILITY,domains.list,2024-10-20 04:08:46.868534+00:00
