subject,idna_subject,expiration_date,epoch,registrar
fam-ad.com,fam-ad.com,14-aug-2026,1786665600.0,
fam-ad.com,fam-ad.com,14-aug-2026,1786665600.0,
mediacategory.com,mediacategory.com,31-oct-2028,1856563200.0,
mediacategory.com,mediacategory.com,31-oct-2028,1856563200.0,
site3.co.kr,site3.co.kr,04-nov-2027,1825286400.0,
site3.co.kr,site3.co.kr,04-nov-2027,1825286400.0,
tsyndicate.com,tsyndicate.com,28-may-2028,1843084800.0,
tsyndicate.com,tsyndicate.com,28-may-2028,1843084800.0,
blockadsnot.com,blockadsnot.com,18-apr-2026,1776470400.0,
blockadsnot.com,blockadsnot.com,18-apr-2026,1776470400.0,
webmetic.net,webmetic.net,24-oct-2025,1761264000.0,"Amazon Registrar, Inc."
ad999.biz,ad999.biz,15-may-2026,1778803200.0,"GMO Internet, Inc. d/b/a Onamae.com"
adfork.co.kr,adfork.co.kr,25-aug-2026,1787616000.0,"Gabia, Inc.(http://www.gabia.co.kr)"
adinc.co.kr,adinc.co.kr,24-feb-2026,1771891200.0,"Gabia, Inc.(http://www.gabia.co.kr)"
adnext.fr,adnext.fr,19-mar-2028,1837036800.0,Hosting Concepts B.V. d/b/a Openprovider
adpick.co.kr,adpick.co.kr,01-oct-2027,1822348800.0,"Gabia, Inc.(http://www.gabia.co.kr)"
adraction.co.kr,adraction.co.kr,20-jun-2026,1781913600.0,"Gabia, Inc.(http://www.gabia.co.kr)"
adtag.cc,adtag.cc,19-aug-2026,1787097600.0,Gandi SAS
am15.net,am15.net,15-nov-2026,1794700800.0,"GoDaddy.com, LLC"
bizon.kr,bizon.kr,01-jan-2026,1767225600.0,Megazone(http://HOSTING.KR)
dreamsearch.or.kr,dreamsearch.or.kr,15-nov-2025,1763164800.0,Megazone(http://HOSTING.KR)
eto.co.kr,eto.co.kr,08-jun-2026,1780876800.0,Megazone(http://HOSTING.KR)
franecki.net,franecki.net,30-mar-2026,1774828800.0,"URL Solutions, Inc."
marketingking.co.kr,marketingking.co.kr,21-apr-2026,1776729600.0,"Inames Co., Ltd.(http://www.inames.co.kr)"
mediaindex.co.kr,mediaindex.co.kr,10-apr-2026,1775779200.0,Dotname Korea Corp(http://www.dotname.co.kr)
mediaview.co.kr,mediaview.co.kr,30-dec-2025,1767052800.0,"Gabia, Inc.(http://www.gabia.co.kr)"
oload.tv,oload.tv,03-aug-2026,1785715200.0,"MarkMonitor, Inc."
onclickads.net,onclickads.net,03-jun-2026,1780444800.0,"URL Solutions, Inc."
optbeacon.net,optbeacon.net,20-jun-2026,1781913600.0,"Gabia, Inc."
planmix.co.kr,planmix.co.kr,21-jul-2026,1784592000.0,Megazone(http://HOSTING.KR)
recreativ.ru,recreativ.ru,20-dec-2025,1766188800.0,RU-CENTER-RU
smartposting.net,smartposting.net,29-jun-2026,1782691200.0,"Name.com, Inc."
ti-center.co.kr,ti-center.co.kr,21-nov-2025,1763683200.0,"Inames Co., Ltd.(http://www.inames.co.kr)"
udmserve.net,udmserve.net,24-apr-2029,1871683200.0,"GoDaddy.com, LLC"
unionpress.co.kr,unionpress.co.kr,30-oct-2025,1761782400.0,"ConnectWave co.,Ltd.(http://www.ssandomain.com)"
uplus.kr,uplus.kr,27-mar-2026,1774569600.0,Megazone(http://HOSTING.KR)
wec.co.kr,wec.co.kr,16-nov-2026,1794787200.0,"Gabia, Inc.(http://www.gabia.co.kr)"
adget.co.kr,adget.co.kr,05-sep-2026,1788566400.0,Megazone(http://HOSTING.KR)
oload.cloud,oload.cloud,22-sep-2026,1790035200.0,NAMECHEAP
