idna_subject,checker_type,destination,source,tested_at,session_id
3407.tm.zedo.com,AVAILABILITY,domains.list,domains.list,2022-03-18 03:37:58.537812,a7557d5734f42cb67da7ae1d
7fkm2r4pzi.com,AVAILABILITY,domains.list,domains.list,2022-03-18 03:37:59.176493,a7557d5734f42cb67da7ae1d
a.adtng.com,AVAILABILITY,domains.list,domains.list,2022-03-18 03:38:01.210298,a7557d5734f42cb67da7ae1d
a.bf-ad.net,AVAILABILITY,domains.list,domains.list,2022-03-18 03:38:01.607715,a7557d5734f42cb67da7ae1d
a.ligatus.com,AVAILABILITY,domains.list,domains.list,2022-03-18 03:38:02.333413,a7557d5734f42cb67da7ae1d
a.realsrv.com,AVAILABILITY,domains.list,domains.list,2022-03-18 03:38:02.818533,a7557d5734f42cb67da7ae1d
a.t.webtracker.jp,AVAILABILITY,domains.list,domains.list,2022-03-18 03:38:09.619360,a7557d5734f42cb67da7ae1d
a.teads.tv,AVAILABILITY,domains.list,domains.list,2022-03-18 03:38:10.042884,a7557d5734f42cb67da7ae1d
a.tribalfusion.com,AVAILABILITY,domains.list,domains.list,2022-03-18 03:38:10.519502,a7557d5734f42cb67da7ae1d
a.vdo.ai,AVAILABILITY,domains.list,domains.list,2022-03-18 03:38:10.996442,a7557d5734f42cb67da7ae1d
a.wyzmob.com,AVAILABILITY,domains.list,domains.list,2022-03-18 03:38:12.452149,a7557d5734f42cb67da7ae1d
a1.dp25.kr,AVAILABILITY,domains.list,domains.list,2022-03-18 03:38:13.469686,a7557d5734f42cb67da7ae1d
a2232.casalemedia.com,AVAILABILITY,domains.list,domains.list,2022-03-18 03:38:14.127694,a7557d5734f42cb67da7ae1d
a4p.adpartner.pro,AVAILABILITY,domains.list,domains.list,2022-03-18 03:38:15.329721,a7557d5734f42cb67da7ae1d
a870.casalemedia.com,AVAILABILITY,domains.list,domains.list,2022-03-18 03:38:16.146275,a7557d5734f42cb67da7ae1d
acdn.adnxs.com,AVAILABILITY,domains.list,domains.list,2022-03-18 03:38:16.528121,a7557d5734f42cb67da7ae1d
ad-cdn.technoratimedia.com,AVAILABILITY,domains.list,domains.list,2022-03-18 03:38:16.901288,a7557d5734f42cb67da7ae1d
ad-first.co.kr,AVAILABILITY,domains.list,domains.list,2022-03-18 03:38:17.248516,a7557d5734f42cb67da7ae1d
ad-js.chip.de,AVAILABILITY,domains.list,domains.list,2022-03-18 03:38:17.596903,a7557d5734f42cb67da7ae1d
ad-playstore.com,AVAILABILITY,domains.list,domains.list,2022-03-18 03:38:17.980331,a7557d5734f42cb67da7ae1d
ad-unpack.com,AVAILABILITY,domains.list,domains.list,2022-03-18 03:38:18.338915,a7557d5734f42cb67da7ae1d
ad.3dpop.kr,AVAILABILITY,domains.list,domains.list,2022-03-18 03:38:19.916306,a7557d5734f42cb67da7ae1d
ad.about.co.kr,AVAILABILITY,domains.list,domains.list,2022-03-18 03:38:20.923648,a7557d5734f42cb67da7ae1d
ad.aceplanet.co.kr,AVAILABILITY,domains.list,domains.list,2022-03-18 03:38:23.201156,a7557d5734f42cb67da7ae1d
ad.ad-stir.com,AVAILABILITY,domains.list,domains.list,2022-03-18 03:38:23.561081,a7557d5734f42cb67da7ae1d
ad.ad4989.co.kr,AVAILABILITY,domains.list,domains.list,2022-03-18 03:38:25.334915,a7557d5734f42cb67da7ae1d
ad.adinc.kr,AVAILABILITY,domains.list,domains.list,2022-03-18 03:38:27.314681,a7557d5734f42cb67da7ae1d
ad.adjw.co.kr,AVAILABILITY,domains.list,domains.list,2022-03-18 03:38:29.737977,a7557d5734f42cb67da7ae1d
ad.adkova.com,AVAILABILITY,domains.list,domains.list,2022-03-18 03:38:40.477500,a7557d5734f42cb67da7ae1d
ad.adnmore.co.kr,AVAILABILITY,domains.list,domains.list,2022-03-18 03:38:42.546702,a7557d5734f42cb67da7ae1d
ad.adotsolution.com,AVAILABILITY,domains.list,domains.list,2022-03-18 03:38:43.796698,a7557d5734f42cb67da7ae1d
ad.adpon.jp,AVAILABILITY,domains.list,domains.list,2022-03-18 03:38:44.492078,a7557d5734f42cb67da7ae1d
ad.afy11.net,AVAILABILITY,domains.list,domains.list,2022-03-18 03:38:45.142342,a7557d5734f42cb67da7ae1d
ad.api.stax.kr,AVAILABILITY,domains.list,domains.list,2022-03-18 03:38:48.613556,a7557d5734f42cb67da7ae1d
ad.applead.co.kr,AVAILABILITY,domains.list,domains.list,2022-03-18 03:38:51.691506,a7557d5734f42cb67da7ae1d
ad.atdmt.com,AVAILABILITY,domains.list,domains.list,2022-03-18 03:38:52.325468,a7557d5734f42cb67da7ae1d
ad.bananamall.co.kr,AVAILABILITY,domains.list,domains.list,2022-03-18 03:38:54.536342,a7557d5734f42cb67da7ae1d
ad.cauly.co.kr,AVAILABILITY,domains.list,domains.list,2022-03-18 03:38:56.678317,a7557d5734f42cb67da7ae1d
